Text	Start Time (s)	duration
what Sentinels was doing and they only	1547.44	4.32
had to slightly respect it cuz they can	1549.56	4.681
dodge it Z comes in you have to respect	1551.76	4.68
it the fundamental differences in the	1554.24	5.28
power that these comps can hit with is	1556.44	5.16
huge and we'll see that as loud comes on	1559.52	3.6
the attack side now it takes so much	1561.60	3.72
more to orchestrate this composition	1563.12	4.2
into a sight you definitely see a lot	1565.32	3.2
from all of these players right about	1567.32	3.68
that meta the battle of the igls the big	1568.52	4.56
brains from the coaching staff it's also	1571.00	3.64
just a heads sub play from all these	1573.08	3.76
players that has been looking so good in	1574.64	3.68
this first half and speaking of	1576.84	3.88
information to react right away a knife	1578.32	4.359
went out towards the as sign pinging a	1580.72	4.679
few here thrown by zelus and SEL knows	1582.68	4.48
as hits coming towards the aide and	1585.40	3.921
they're ready for this signature retake	1587.16	4.601
play style on the a site loud still	1589.32	4.28
deciding to work towards a though so	1591.76	3.21
they might have something back in	1593.60	3.679
[Applause]	1594.97	4.39
return what are we working with there	1597.28	3.681
are some ghosts so a little bit of a	1599.36	3.64
drop on util there classics will be able	1600.96	4.599
to come in full utility wise and the	1603.00	5.36
early delay early fakes with a bit of	1605.56	4.441
utility here I wonder if that's going to	1608.36	4.64
allow s in a bit more but this is louder	1610.00	4.32
hunger down here it's going to be hard	1613.00	3.08
to get them out parano and dizzy that's	1614.32	3.28
going to hit Fus runs inside the smoke	1616.08	4.24
the boom even SPS him and blows him away	1617.60	4.72
flash towards the back coward Z's fully	1620.32	3.88
blinded but is okay to stay behind the	1622.32	4.2
smoke attack onto the spike a FL line	1624.20	4.04
coming out a spray through the smoke a	1626.52	3.759
spray and pray and for L to hopefully	1628.24	4.08
get this pistol on their side it's not	1630.28	4.601
even halfway the oh the wingman already	1632.32	5.56
got fed but there's no time left there's	1634.88	6.82
no time left in front right clicks	1637.88	5.88
[Applause]	1641.70	4.62
what oh this is going to be the type of	1643.76	4.279
place that we're going to see in a p SM	1646.32	3.64
plays between loud and	1648.04	4.161
Sentinels we're going to be on Ed they	1649.96	4.719
they call that Cinema no just kidding	1652.20	4.959
that was the uh that was the Tuesday mat	1654.68	5.72
night that was absolute	1657.16	7.88
chaos oh my gosh did that's the I have	1660.40	7.241
one final Choice moment situations	1665.04	4.24
everybody's doing the final thing they	1667.64	3.759
know they're going to go down and that	1669.28	4.52
one was to jump through the smoke and	1671.40	3.921
finally kill the diffuser even though it	1673.80	2.681
probably wouldn't have been half that	1675.32	2.8
was just the kind of situation	1676.48	3.64
the pressure loud puts on the first	1678.12	3.64
attack round of their pistol here second	1680.12	3.36
half a big push here from Sentinels	1681.76	3.799
though this is going to be another War	1683.48	3.52
continuing with the double flash	1685.56	3.561
combination from the initiators but qck	1687.00	4.2
is just ready for that so that only does	1689.12	4.36
he stops to push from SEL but that's	1691.20	3.56
building up his ultimate here for the	1693.48	2.799
later rounds even trying to clear for	1694.76	3.44
more grabbing the or behind the all	1696.28	3.921
drone wouldn't be surprised if they just	1698.20	3.52
give him a plan or he just chases the	1700.20	3.599
kill but you're seeing like sentinals	1701.72	4.04
are trying to rework the map somewhere	1703.80	4.641
go head to-head Omen versus tues gets	1705.76	5.68
the upper hand of	1708.44	5.56
T actually did see qk trying to hunt for	1711.44	4.8
more kills there he got instantly Ned by	1714.00	4.559
sashy camera will let them know they can	1716.24	5.559
end at a on this one in loud I I feel	1718.56	5.84
like needed to start setting the pace as	1721.80	5.561
they got onto this attack side Sentinels	1724.40	5.12
as they were on attack like I said what	1727.36	4.08
didn't care when the hunters Fury came	1729.52	3.481
out from loud they were able to work	1731.44	4.28
around it absorb loud utility at market	1733.00	5.72
and hit a or the other way around A to B	1735.72	6.36
here loud cannot let Sentinel set up a	1738.72	5.439
defensive spot loud needs to be in their	1742.08	4.28
face all the time and again with this	1744.16	4.601
composition loud has that has to be	1746.36	4.52
everybody behind qck right qck is not	1748.76	4.639
blast packing in he's not dashing in	1750.88	4.24
Stand they have to go in together and	1753.40	3.12
right now they're picking these rounds	1755.12	3.96
up together yeah I mean as much as SEL	1756.52	4.28
has utility to retake these sights for	1759.08	3.439
alloud side they have as much s right	1760.80	2.921
they have the fault line to come out	1762.52	3.481
they have the over the smokes they have	1763.72	3.799
paranoia if they haven't used it forly	1766.00	3.72
takes it comes down to how they work the	1767.52	5.0
map once again here on the attack senel	1769.72	4.199
might have to try to change things a	1772.52	3.081
little bit here as they	1773.92	4.961
have a good round to come	1775.60	5.079
through that's for them to try to	1778.88	3.08
control something I wonder if they	1780.68	4.641
Sentinels try a trap play right away go	1781.96	4.839
for their own better guns than this with	1785.32	3.28
better guns than this	1786.80	4.72
yeah cuz it would be good against	1788.60	6.28
loud if if if loud were to go slow on	1791.52	5.801
around might be this thinking the low	1794.88	6.039
Low by is going to create a tough tough	1797.32	5.8
entry into the Sight Four towards a for	1800.92	4.201
loud heavy side as well for Sentinels	1803.12	4.52
strong side rather looks like up and	1805.12	4.24
over flash by Dizzy No they I don't	1807.64	4.24
think they've thrown anything yet heard	1809.36	3.96
a Flash coming out from zelus just to	1811.88	3.6
delay a bit though big paranoia fast	1813.32	4.88
again yeah boombod Z satchels away T's	1815.48	4.199
trying to swing back out just to try to	1818.20	3.64
catch Q off guard a knife is going to	1819.68	4.12
delay that utility that would allow for	1821.84	3.76
LA to gain that momentum gain that space	1823.80	4.081
that it gain towards the elbow SEL wants	1825.60	3.64
to fight back the aggression comes	1827.88	3.72
through Q still on the top a stier close	1829.24	5.24
range the celus for the classic H hands	1831.60	4.84
on the ground finally T takes him down	1834.48	4.079
and all the rest of loud Falls as twois	1836.44	4.839
was looking for that lurk and sels they	1838.56	4.72
fight back on the gun round they realize	1841.28	4.841
it's going to be chaos saner just as as	1843.28	4.721
hard and weird and fast right there as	1846.12	4.2
loud as trying to Hit That Elbow spot	1848.00	4.679
also take a little Pawn control and it	1850.32	4.76
is taking control to kind of organize	1852.68	4.281
this mess that's going on the nades that	1855.08	3.52
are being being thrown that first	1856.96	4.36
allowed this Long Peak to come through	1858.60	4.559
with qck there they knew they needed to	1861.32	4.359
get him out of the situation unroot him	1863.16	4.321
it just caused the push Sentinels is	1865.68	4.321
there numbers cuz they did choose the	1867.48	5.919
right sight expecting loud to hit a	1870.00	5.399
sometimes at some point those paint	1873.40	3.961
shells went down there from Zin and Q	1875.40	3.801
somehow still stood alive so you jump up	1877.36	4.319
on the box as fast as possible it's	1879.20	5.24
definitely difficult there for SEL are	1881.68	4.401
try to regain the elbow side but they	1884.44	3.959
did power numbers	1886.08	4.599
now we have a tech pause coming out here	1888.40	3.721
but it's quick you know didn't even have	1890.68	3.281
a chance to talk about it wow that's	1892.12	5.08
even better all right cool I'll take	1893.96	6.24
that any day now and just making sure	1897.20	5.319
Tech pause works right Tech pause the	1900.20	5.439
tech pause Le loud right now still has	1902.52	5.681
this run it back here that they could	1905.64	5.16
use they're adding that pressure on this	1908.20	5.56
a side to start even trying to see if	1910.80	4.6
there's going to be a push from s down	1913.76	4.159
towards the middle for a link control	1915.40	3.76
senel on their end though they're	1917.92	3.48
looking for once again the first Contact	1919.16	3.721
towards the front zel's with the support	1921.40	3.4
and the flashes on the back of the	1922.88	4.159
dumpster so they could fight back that's	1924.80	3.88
all they want to do so	1927.04	4.081
far when they spray it across they	1928.68	4.161
didn't hear anybody from loud shooting	1931.12	3.32
back so he might be able to start to	1932.84	3.4
Pivot back and work towards the side how	1934.44	3.28
about John cue it's the first time that	1936.24	3.439
we'll see loud start to use this wall	1937.72	3.6
here that kind of helps them get an	1939.68	4.72
entrance mostly for qck and and kenen to	1941.32	4.319
flash through then they can enter	1944.40	3.64
through their own wall and they have to	1945.64	4.561
make Sentinels worry thr comes flying	1948.04	4.12
out from sa to check mid control grabs	1950.20	5.079
one mark it Satchel still alive coming	1952.16	4.601
back but his teammate the Tain cannot	1955.28	4.321
really help get Mar comes down the Tom	1956.76	4.879
one celus gets the head shot T's ready	1959.60	4.64
for p Let's It Rip but the rest of loud	1961.64	3.88
made it through towards the Beast site	1964.24	3.12
nonetheless they gave up on that control	1965.52	3.321
towards the market the plant coming down	1967.36	3.919
here for cine hit by flashes all over	1968.84	4.88
faroud as sels are still out back on the	1971.28	4.601
outside by middle and B there's that	1973.72	6.12
fight to CAU it oh my God it all around	1975.88	6.0
leing now Les alone on the one versus	1979.84	5.439
four positioned now towards the Spike as	1981.88	5.88
at least the thrash is on spot him now	1985.28	4.441
back and forth we go and zelus gets	1987.76	5.32
another backstab 10 is ready to come out	1989.72	5.04
strong in his Grand finals as well it's	1993.08	5.4
been an incredible year for 10 so far we	1994.76	6.399
